clip_id,path,class,camera_motion,video_quality,fps,frames,width,height,duration_sec,has_letterbox,letterbox_ratio,L_top_px,L_bottom_px,L_left_px,L_right_px
April_09_brush_hair_u_nm_np1_ba_goo_0,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\brush_hair\April_09_brush_hair_u_nm_np1_ba_goo_0.avi,brush_hair,static,good,30.0,409,320,240,13.633333333333333,False,0.004166666666666667,1,1,0,0
April_09_brush_hair_u_nm_np1_ba_goo_1,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\brush_hair\April_09_brush_hair_u_nm_np1_ba_goo_1.avi,brush_hair,static,good,30.0,395,320,240,13.166666666666666,False,0.004166666666666667,1,1,0,0
April_09_brush_hair_u_nm_np1_ba_goo_2,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\brush_hair\April_09_brush_hair_u_nm_np1_ba_goo_2.avi,brush_hair,static,good,30.0,323,320,240,10.766666666666667,False,0.004166666666666667,1,1,0,0
atempting_to_brush_my_hair_brush_hair_u_nm_np2_le_goo_0,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\brush_hair\atempting_to_brush_my_hair_brush_hair_u_nm_np2_le_goo_0.avi,brush_hair,static,good,30.0,157,320,240,5.233333333333333,False,0.0,0,0,0,0
atempting_to_brush_my_hair_brush_hair_u_nm_np2_le_goo_1,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\brush_hair\atempting_to_brush_my_hair_brush_hair_u_nm_np2_le_goo_1.avi,brush_hair,static,good,30.0,130,320,240,4.333333333333333,False,0.0,0,0,0,0
Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np1_ba_goo_4,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\brush_hair\Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np1_ba_goo_4.avi,brush_hair,static,good,30.0,246,416,240,8.2,False,0.0,0,0,0,0
Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np1_ri_med_3,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\brush_hair\Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np1_ri_med_3.avi,brush_hair,static,medium,30.0,159,416,240,5.3,False,0.0,0,0,0,0
Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np2_le_goo_0,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\brush_hair\Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np2_le_goo_0.avi,brush_hair,static,good,30.0,137,416,240,4.566666666666666,False,0.0,0,0,0,0
Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np2_le_goo_1,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\brush_hair\Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np2_le_goo_1.avi,brush_hair,static,good,30.0,359,416,240,11.966666666666667,False,0.0,0,0,0,0
Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np2_le_med_2,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\brush_hair\Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np2_le_med_2.avi,brush_hair,static,medium,30.0,191,416,240,6.366666666666666,False,0.0,0,0,0,0
Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_ba_med_3,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\brush_hair\Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_ba_med_3.avi,brush_hair,static,medium,30.0,439,320,240,14.633333333333333,False,0.0,0,0,0,0
Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_fr_goo_1,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\brush_hair\Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_fr_goo_1.avi,brush_hair,static,good,30.0,528,320,240,17.6,False,0.0,0,0,0,0
Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_fr_goo_2,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\brush_hair\Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_fr_goo_2.avi,brush_hair,static,good,30.0,647,320,240,21.566666666666666,False,0.0,0,0,0,0
Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_fr_med_0,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\brush_hair\Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_fr_med_0.avi,brush_hair,static,medium,30.0,260,320,240,8.666666666666666,False,0.0,0,0,0,0
Blonde_being_brushed_brush_hair_f_nm_np2_ri_med_0,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\brush_hair\Blonde_being_brushed_brush_hair_f_nm_np2_ri_med_0.avi,brush_hair,static,medium,30.0,79,320,240,2.6333333333333333,False,0.0,0,0,0,0
Blonde_being_brushed_brush_hair_u_cm_np2_ri_med_1,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\brush_hair\Blonde_being_brushed_brush_hair_u_cm_np2_ri_med_1.avi,brush_hair,motion,medium,30.0,274,320,240,9.133333333333333,False,0.0,0,0,0,0
Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_fr_goo_1,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\brush_hair\Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_fr_goo_1.avi,brush_hair,static,good,30.0,256,416,240,8.533333333333333,False,0.0,0,0,0,0
Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_fr_goo_2,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\brush_hair\Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_fr_goo_2.avi,brush_hair,static,good,30.0,247,416,240,8.233333333333333,False,0.0,0,0,0,0
Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_fr_goo_4,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\brush_hair\Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_fr_goo_4.avi,brush_hair,static,good,30.0,115,416,240,3.8333333333333335,False,0.0,0,0,0,0
Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_le_goo_3,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\brush_hair\Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_le_goo_3.avi,brush_hair,static,good,30.0,181,416,240,6.033333333333333,False,0.0,0,0,0,0
Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_ri_goo_0,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\brush_hair\Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_ri_goo_0.avi,brush_hair,static,good,30.0,502,416,240,16.733333333333334,False,0.0,0,0,0,0
Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_h_cm_np2_ri_goo_6,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\brush_hair\Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_h_cm_np2_ri_goo_6.avi,brush_hair,motion,good,30.0,159,416,240,5.3,False,0.0,0,0,0,0
Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_h_nm_np2_ri_goo_5,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\brush_hair\Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_h_nm_np2_ri_goo_5.avi,brush_hair,static,good,30.0,275,416,240,9.166666666666666,False,0.0,0,0,0,0
brushing_hair_2_brush_hair_h_nm_np1_ba_med_0,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\brush_hair\brushing_hair_2_brush_hair_h_nm_np1_ba_med_0.avi,brush_hair,static,medium,30.0,458,416,240,15.266666666666667,False,0.0,0,0,0,0
brushing_hair_2_brush_hair_h_nm_np1_ba_med_1,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\brush_hair\brushing_hair_2_brush_hair_h_nm_np1_ba_med_1.avi,brush_hair,static,medium,30.0,260,416,240,8.666666666666666,False,0.0,0,0,0,0
brushing_hair_2_brush_hair_h_nm_np1_ba_med_2,C:\Users\jamie\Desktop\760 research\Plan b\HMDB51\brush_hair\brushing_hair_2_brush_hair_h_nm_np1_ba_med_2.avi,brush_hair,static,medium,30.0,243,416,240,8.1,False,0.0,0,0,0,0
